Location (Kuala Lumpur),Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Property Details,Size Type,Size Number (sq. ft.),Price Range
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,924.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,896.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,931.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,931.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,931.0,Low
cheras,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,958.0,Low
cheras,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,950.0,Low
pandan perdana,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,450.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1019.0,Low
desa petaling,3,2.0,1.0,Condominium,Unfurnished,Corner,Land area,1050.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,980.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,861.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,810.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,988.0,Low
jalan klang lama (old klang road),2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,750.0,Low
pandan perdana,2,1.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,500.0,Low
wangsa maju,2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,775.0,Low
kuchai lama,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1067.0,Low
cheras,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,936.0,Low
jalan kuching,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1024.0,Low
kepong,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,805.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
desa petaling,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Land area,1098.0,Low
wangsa maju,2,1.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,770.0,Low
sentul,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
kuchai lama,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,905.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
bukit jalil,2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,775.0,Low
kepong,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,850.0,Low
sri petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
salak selatan,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,720.0,Low
cheras,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,903.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,903.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,714.0,Low
cheras,3,2.0,1.0,Condominium,Fully Furnished,EndLot,Built-up,810.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,838.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
bukit jalil,2,1.0,1.0,Condominium,Partly Furnished,EndLot,Built-up,775.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,931.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
sri petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,947.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
salak selatan,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
kl city,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,900.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1025.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,988.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,947.0,Low
desa petaling,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,728.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,800.0,Low
sentul,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,973.0,Low
kl city,3,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,882.0,Low
desa petaling,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1098.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,714.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,820.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,714.0,Low
cheras,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,810.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,931.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,820.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,958.0,Low
salak selatan,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
kepong,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,805.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
jalan kuching,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1024.0,Low
jalan kuching,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1024.0,Low
cheras,4,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,900.0,Low
cheras,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,900.0,Low
desa petaling,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,929.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,800.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,800.0,Low
